Task,Start,Finish,Cores,RequestId
27,2022-07-19 16:59:47.268972,2022-07-19 17:00:13.591766,4,27
-1,2022-07-19 16:59:48.145295,2022-07-19 16:59:48.145535,6,43
35.5,2022-07-19 16:59:03.982744,2022-07-19 16:59:37.982744,1,
35.5,2022-07-19 16:59:37.982744,2022-07-19 16:59:58.982744,2,
-1,2022-07-19 17:00:11.971569,2022-07-19 17:00:11.971793,6,44
27,2022-07-19 17:00:13.591773,2022-07-19 17:00:46.441156,6,27
37,2022-07-19 17:00:16.583176,2022-07-19 17:00:38.356009,4,37
-1,2022-07-19 17:00:27.725618,2022-07-19 17:00:27.725868,6,45
36.5,2022-07-19 16:59:35.026121,2022-07-19 17:00:03.026121,1,
36.5,2022-07-19 17:00:03.026121,2022-07-19 17:00:24.026121,2,
37,2022-07-19 17:00:38.356015,2022-07-19 17:01:09.372863,6,37
38,2022-07-19 17:00:41.196010,2022-07-19 17:00:56.643957,4,38
27.5,2022-07-19 16:55:52.170296,2022-07-19 16:56:27.170296,1,
27.5,2022-07-19 16:56:27.170296,2022-07-19 16:56:48.170296,2,
-1,2022-07-19 17:00:47.317279,2022-07-19 17:00:47.317475,6,46
38,2022-07-19 17:00:56.643964,2022-07-19 17:01:34.324192,6,38
39,2022-07-19 17:00:59.480289,2022-07-19 17:01:19.588794,4,39
-1,2022-07-19 17:01:07.177335,2022-07-19 17:01:07.177657,6,47
37.5,2022-07-19 17:00:16.583176,2022-07-19 17:00:45.583176,1,
37.5,2022-07-19 17:00:45.583176,2022-07-19 17:01:04.583176,2,
39,2022-07-19 17:01:19.588801,2022-07-19 17:01:56.060180,6,39
40,2022-07-19 17:01:22.546395,2022-07-19 17:01:44.548032,4,40
-1,2022-07-19 17:01:26.993273,2022-07-19 17:01:26.993543,6,48
38.5,2022-07-19 17:00:41.196010,2022-07-19 17:01:09.196010,1,
38.5,2022-07-19 17:01:09.196010,2022-07-19 17:01:29.196010,2,
40,2022-07-19 17:01:44.548039,2022-07-19 17:02:18.043260,6,40
41,2022-07-19 17:01:47.282798,2022-07-19 17:02:06.279851,4,41
-1,2022-07-19 17:01:48.457274,2022-07-19 17:01:48.457527,6,49
39.5,2022-07-19 17:00:59.480289,2022-07-19 17:01:30.480289,1,
39.5,2022-07-19 17:01:30.480289,2022-07-19 17:01:51.480289,2,
-1,2022-07-19 17:02:06.277317,2022-07-19 17:02:06.277594,6,50
41,2022-07-19 17:02:06.279858,2022-07-19 17:02:40.484371,6,41
42,2022-07-19 17:02:09.121982,2022-07-19 17:02:28.257143,4,42
40.5,2022-07-19 17:01:22.546395,2022-07-19 17:01:54.546395,1,
40.5,2022-07-19 17:01:54.546395,2022-07-19 17:02:13.546395,2,
-1,2022-07-19 17:02:23.589305,2022-07-19 17:02:23.589549,6,51
42,2022-07-19 17:02:28.257150,2022-07-19 17:03:03.684953,6,42
43,2022-07-19 17:02:31.116680,2022-07-19 17:02:50.691756,4,43
-1,2022-07-19 17:02:39.977307,2022-07-19 17:02:39.977611,6,52
41.5,2022-07-19 17:01:47.282798,2022-07-19 17:02:17.282798,1,
41.5,2022-07-19 17:02:17.282798,2022-07-19 17:02:37.282798,2,
43,2022-07-19 17:02:50.691763,2022-07-19 17:03:26.105748,6,43
44,2022-07-19 17:02:53.464314,2022-07-19 17:03:13.897311,4,44
-1,2022-07-19 17:03:01.421277,2022-07-19 17:03:01.421539,6,53
42.5,2022-07-19 17:02:09.121982,2022-07-19 17:02:39.121982,1,
42.5,2022-07-19 17:02:39.121982,2022-07-19 17:02:59.121982,2,
44,2022-07-19 17:03:13.897317,2022-07-19 17:03:48.169082,6,44
45,2022-07-19 17:03:16.823022,2022-07-19 17:03:36.262124,4,45
-1,2022-07-19 17:03:23.501330,2022-07-19 17:03:23.501664,6,54
43.5,2022-07-19 17:02:31.116680,2022-07-19 17:03:02.116680,1,
43.5,2022-07-19 17:03:02.116680,2022-07-19 17:03:22.116680,2,
45,2022-07-19 17:03:36.262130,2022-07-19 17:04:10.727802,6,45
46,2022-07-19 17:03:39.180278,2022-07-19 17:03:58.375412,4,46
-1,2022-07-19 17:03:45.897292,2022-07-19 17:03:45.897571,6,55
44.5,2022-07-19 17:02:53.464314,2022-07-19 17:03:24.464314,1,
44.5,2022-07-19 17:03:24.464314,2022-07-19 17:03:44.464314,2,
46,2022-07-19 17:03:58.375419,2022-07-19 17:04:34.049913,6,46
47,2022-07-19 17:04:01.202327,2022-07-19 17:04:20.944464,4,47
-1,2022-07-19 17:04:06.269295,2022-07-19 17:04:06.269626,6,56
45.5,2022-07-19 17:03:16.823022,2022-07-19 17:03:45.823022,1,
45.5,2022-07-19 17:03:45.823022,2022-07-19 17:04:05.823022,2,
47,2022-07-19 17:04:20.944471,2022-07-19 17:04:55.237492,6,47
-1,2022-07-19 17:04:22.049344,2022-07-19 17:04:22.049634,6,57
48,2022-07-19 17:04:23.775420,2022-07-19 17:04:44.208468,4,48
46.5,2022-07-19 17:03:39.180278,2022-07-19 17:04:10.180278,1,
46.5,2022-07-19 17:04:10.180278,2022-07-19 17:04:29.180278,2,
-1,2022-07-19 17:04:35.973258,2022-07-19 17:04:35.973472,6,58
48,2022-07-19 17:04:44.208477,2022-07-19 17:05:18.752132,6,48
49,2022-07-19 17:04:47.100042,2022-07-19 17:05:05.435488,4,49
-1,2022-07-19 17:04:52.313287,2022-07-19 17:04:52.313577,6,59
47.5,2022-07-19 17:04:01.202327,2022-07-19 17:04:31.202327,1,
47.5,2022-07-19 17:04:31.202327,2022-07-19 17:04:51.202327,2,
