Task,Start,Finish,Cores
-1,2022-03-16 18:11:56.575657,2022-03-16 18:11:56.575796,8
-1,2022-03-16 18:12:33.779593,2022-03-16 18:12:33.779702,8
-1,2022-03-16 18:13:19.511623,2022-03-16 18:13:19.511733,8
-1,2022-03-16 18:14:04.299608,2022-03-16 18:14:04.299715,8
33.5,2022-03-16 18:11:33.053975,2022-03-16 18:12:12.053975,1
33.5,2022-03-16 18:12:12.053975,2022-03-16 18:12:44.053975,2
33.5,2022-03-16 18:12:44.053975,2022-03-16 18:13:16.053975,1
33.5,2022-03-16 18:13:16.053975,2022-03-16 18:13:48.053975,2
33.5,2022-03-16 18:13:48.053975,2022-03-16 18:14:20.053975,1
34.5,2022-03-16 18:11:35.927662,2022-03-16 18:12:17.927662,1
34.5,2022-03-16 18:12:17.927662,2022-03-16 18:12:50.927662,2
34.5,2022-03-16 18:12:50.927662,2022-03-16 18:13:22.927662,1
34.5,2022-03-16 18:13:22.927662,2022-03-16 18:13:54.927662,2
34.5,2022-03-16 18:13:54.927662,2022-03-16 18:14:26.927662,1
35,2022-03-16 18:14:43.439995,2022-03-16 18:17:35.266258,8
-1,2022-03-16 18:14:45.045057,2022-03-16 18:14:45.045236,8
36,2022-03-16 18:14:46.304385,2022-03-16 18:17:36.175785,8
-1,2022-03-16 18:15:13.525768,2022-03-16 18:15:13.525938,8
-1,2022-03-16 18:15:59.897662,2022-03-16 18:15:59.897790,8
-1,2022-03-16 18:16:43.413650,2022-03-16 18:16:43.413826,8
-1,2022-03-16 18:17:24.401737,2022-03-16 18:17:24.401859,8
35.5,2022-03-16 18:14:43.439995,2022-03-16 18:15:22.439995,1
35.5,2022-03-16 18:15:22.439995,2022-03-16 18:15:55.439995,2
35.5,2022-03-16 18:15:55.439995,2022-03-16 18:16:27.439995,1
35.5,2022-03-16 18:16:27.439995,2022-03-16 18:16:59.439995,2
35.5,2022-03-16 18:16:59.439995,2022-03-16 18:17:31.439995,1
36.5,2022-03-16 18:14:46.304385,2022-03-16 18:15:24.304385,1
36.5,2022-03-16 18:15:24.304385,2022-03-16 18:15:55.304385,2
36.5,2022-03-16 18:15:55.304385,2022-03-16 18:16:27.304385,1
36.5,2022-03-16 18:16:27.304385,2022-03-16 18:16:59.304385,2
36.5,2022-03-16 18:16:59.304385,2022-03-16 18:17:31.304385,1
37,2022-03-16 18:17:48.753981,2022-03-16 18:20:52.172178,8
38,2022-03-16 18:17:51.658853,2022-03-16 18:20:56.749539,8
-1,2022-03-16 18:18:04.807651,2022-03-16 18:18:04.807805,8
-1,2022-03-16 18:18:54.579596,2022-03-16 18:18:54.579716,8
-1,2022-03-16 18:19:32.899839,2022-03-16 18:19:32.899961,8
-1,2022-03-16 18:20:00.787610,2022-03-16 18:20:00.787731,8
-1,2022-03-16 18:20:33.401329,2022-03-16 18:20:33.401455,8
37.5,2022-03-16 18:17:48.753981,2022-03-16 18:18:29.753981,1
37.5,2022-03-16 18:18:29.753981,2022-03-16 18:19:05.753981,2
37.5,2022-03-16 18:19:05.753981,2022-03-16 18:19:39.753981,1
37.5,2022-03-16 18:19:39.753981,2022-03-16 18:20:13.753981,2
37.5,2022-03-16 18:20:13.753981,2022-03-16 18:20:47.753981,1
38.5,2022-03-16 18:17:51.658853,2022-03-16 18:18:34.658853,1
38.5,2022-03-16 18:18:34.658853,2022-03-16 18:19:09.658853,2
38.5,2022-03-16 18:19:09.658853,2022-03-16 18:19:43.658853,1
38.5,2022-03-16 18:19:43.658853,2022-03-16 18:20:17.658853,2
38.5,2022-03-16 18:20:17.658853,2022-03-16 18:20:51.658853,1
39,2022-03-16 18:21:09.366184,2022-03-16 18:24:14.319993,8
40,2022-03-16 18:21:12.249055,2022-03-16 18:24:14.217848,8
