Task,Start,Finish,Cores
37.5,2022-03-22 14:51:03.898467,2022-03-22 14:53:41.898467,1
37.5,2022-03-22 14:53:41.898467,2022-03-22 14:56:16.898467,2
37.5,2022-03-22 14:56:16.898467,2022-03-22 14:58:52.898467,1
37.5,2022-03-22 14:58:52.898467,2022-03-22 15:01:27.898467,2
37.5,2022-03-22 15:01:27.898467,2022-03-22 15:04:02.898467,1
38.5,2022-03-22 14:51:07.265412,2022-03-22 14:53:47.265412,1
38.5,2022-03-22 14:53:47.265412,2022-03-22 14:56:23.265412,2
38.5,2022-03-22 14:56:23.265412,2022-03-22 14:58:59.265412,1
38.5,2022-03-22 14:58:59.265412,2022-03-22 15:01:35.265412,2
38.5,2022-03-22 15:01:35.265412,2022-03-22 15:04:10.265412,1
39.5,2022-03-22 14:51:10.818385,2022-03-22 14:53:49.818385,1
39.5,2022-03-22 14:53:49.818385,2022-03-22 14:56:26.818385,2
39.5,2022-03-22 14:56:26.818385,2022-03-22 14:59:02.818385,1
39.5,2022-03-22 14:59:02.818385,2022-03-22 15:01:38.818385,2
39.5,2022-03-22 15:01:38.818385,2022-03-22 15:04:14.818385,1
-1,2022-03-22 15:04:27.403809,2022-03-22 15:04:27.403971,8
45,2022-03-22 15:04:31.297587,2022-03-22 15:17:32.476734,2
46,2022-03-22 15:04:34.873619,2022-03-22 15:17:39.289657,2
47,2022-03-22 15:04:38.313359,2022-03-22 15:17:44.855083,2
-1,2022-03-22 15:05:04.909850,2022-03-22 15:05:04.910006,8
-1,2022-03-22 15:05:37.274272,2022-03-22 15:05:37.274413,8
-1,2022-03-22 15:06:17.137780,2022-03-22 15:06:17.137919,8
-1,2022-03-22 15:06:59.297786,2022-03-22 15:06:59.297927,8
-1,2022-03-22 15:07:35.857802,2022-03-22 15:07:35.857947,8
-1,2022-03-22 15:08:11.605790,2022-03-22 15:08:11.605941,8
40.5,2022-03-22 14:55:11.054814,2022-03-22 14:57:50.054814,1
40.5,2022-03-22 14:57:50.054814,2022-03-22 15:00:27.054814,2
40.5,2022-03-22 15:00:27.054814,2022-03-22 15:03:03.054814,1
40.5,2022-03-22 15:03:03.054814,2022-03-22 15:05:39.054814,2
40.5,2022-03-22 15:05:39.054814,2022-03-22 15:08:15.054814,1
48,2022-03-22 15:08:31.667490,2022-03-22 15:21:36.593677,2
41.5,2022-03-22 14:55:26.142334,2022-03-22 14:58:06.142334,1
41.5,2022-03-22 14:58:06.142334,2022-03-22 15:00:42.142334,2
