Containers, Policy, Asignment Policy, Tf Version, Priority, TME, TMR, TMER, Recursos, Productividad, TT 
16,priority,max_prop,maleable,2,39.333333333333336 , 2.3333333333333335 , 41.666666666666664 , 79.31985294117646 , 15.0 , 125.0
16,priority,max_prop,maleable,3,42.75 , 40.25 , 83.0 , 79.31985294117646 , 15.0 , 332.0
16,priority,max_prop,maleable,4,53.666666666666664 , 69.83333333333333 , 123.5 , 79.31985294117646 , 30.0 , 741.0
16,priority,max_prop,original,0,54.0 , 22.25 , 76.25 , 84.3125 , 24.291497975708502 , 610.0
16,priority,max_prop,original,1,82.66666666666667 , 30.333333333333332 , 113.0 , 84.3125 , 14.5748987854251 , 339.0
16,priority,max_prop,original,2,36.666666666666664 , 3.3333333333333335 , 40.0 , 84.3125 , 9.7165991902834 , 120.0
16,priority,max_prop,original,3,155.0 , 41.75 , 196.75 , 84.3125 , 9.7165991902834 , 787.0
16,priority,max_prop,original,4,142.33333333333334 , 66.16666666666667 , 208.5 , 84.3125 , 19.4331983805668 , 1251.0
32,priority,strict,maleable,0,81.5 , 24.25 , 105.75 , 66.92708333333333 , 20.425531914893618 , 423.0
32,priority,strict,maleable,1,85.7 , 33.9 , 119.6 , 66.92708333333333 , 51.06382978723404 , 1196.0
32,priority,strict,maleable,2,88.8 , 44.4 , 133.2 , 66.92708333333333 , 25.53191489361702 , 666.0
32,priority,strict,maleable,3,85.83333333333333 , 98.5 , 184.33333333333334 , 66.92708333333333 , 30.638297872340427 , 1106.0
32,priority,strict,maleable,4,79.85714285714286 , 81.71428571428571 , 161.57142857142858 , 66.92708333333333 , 35.74468085106383 , 1131.0
32,priority,strict,original,0,80.75 , 16.5 , 97.25 , 68.5546875 , 20.809248554913296 , 389.0
32,priority,strict,original,1,85.4 , 35.3 , 120.7 , 68.5546875 , 52.02312138728324 , 1207.0
32,priority,strict,original,2,81.4 , 61.6 , 143.0 , 68.5546875 , 26.01156069364162 , 715.0
32,priority,strict,original,3,83.66666666666667 , 92.5 , 176.16666666666666 , 68.5546875 , 31.213872832369944 , 1057.0
32,priority,strict,original,4,79.0 , 39.57142857142857 , 118.57142857142857 , 68.5546875 , 36.41618497109827 , 830.0
32,priority,always_attend,maleable,0,75.6 , 26.8 , 102.4 , 75.67934782608695 , 21.686746987951807 , 512.0
32,priority,always_attend,maleable,1,72.53846153846153 , 25.615384615384617 , 98.15384615384616 , 75.67934782608695 , 54.21686746987952 , 1276.0
32,priority,always_attend,maleable,2,68.375 , 35.375 , 103.75 , 75.67934782608695 , 27.10843373493976 , 830.0
32,priority,always_attend,maleable,3,76.375 , 53.75 , 130.125 , 75.67934782608695 , 32.53012048192771 , 1041.0
32,priority,always_attend,maleable,4,67.1 , 21.7 , 88.8 , 75.67934782608695 , 37.95180722891566 , 888.0
32,priority,always_attend,original,0,124.66666666666667 , 31.0 , 155.66666666666666 , 68.58836206896552 , 16.901408450704224 , 934.0
32,priority,always_attend,original,1,95.23076923076923 , 23.46153846153846 , 118.6923076923077 , 68.58836206896552 , 42.25352112676056 , 1543.0
32,priority,always_attend,original,2,70.71428571428571 , 37.142857142857146 , 107.85714285714286 , 68.58836206896552 , 21.12676056338028 , 755.0
32,priority,always_attend,original,3,74.55555555555556 , 39.77777777777778 , 114.33333333333333 , 68.58836206896552 , 25.35211267605634 , 1029.0
32,priority,always_attend,original,4,69.33333333333333 , 31.88888888888889 , 101.22222222222223 , 68.58836206896552 , 29.577464788732396 , 911.0
32,priority,max_prop,maleable,0,83.5 , 50.333333333333336 , 133.83333333333334 , 84.94791666666667 , 15.964523281596454 , 803.0
32,priority,max_prop,maleable,1,58.611111111111114 , 28.055555555555557 , 86.66666666666667 , 84.94791666666667 , 39.91130820399113 , 1560.0
32,priority,max_prop,maleable,2,40.55555555555556 , 74.55555555555556 , 115.11111111111111 , 84.94791666666667 , 19.955654101995567 , 1036.0
32,priority,max_prop,maleable,3,49.583333333333336 , 106.0 , 155.58333333333334 , 84.94791666666667 , 23.94678492239468 , 1867.0
32,priority,max_prop,maleable,4,56.857142857142854 , 57.214285714285715 , 114.07142857142857 , 84.94791666666667 , 27.937915742793795 , 1597.0
32,priority,max_prop,original,0,98.16666666666667 , 49.333333333333336 , 147.5 , 85.47297297297297 , 12.914798206278027 , 885.0
32,priority,max_prop,original,1,65.125 , 52.5625 , 117.6875 , 85.47297297297297 , 32.28699551569507 , 1883.0
32,priority,max_prop,original,2,140.875 , 104.75 , 245.625 , 85.47297297297297 , 16.143497757847534 , 1965.0
32,priority,max_prop,original,3,109.0 , 129.7 , 238.7 , 85.47297297297297 , 19.37219730941704 , 2387.0
32,priority,max_prop,original,4,74.85714285714286 , 161.14285714285714 , 236.0 , 85.47297297297297 , 22.600896860986545 , 3304.0
64,priority,strict,maleable,0,84.13333333333334 , 34.13333333333333 , 118.26666666666667 , 84.15178571428571 , 36.93764798737175 , 1774.0
64,priority,strict,maleable,1,88.72727272727273 , 44.36363636363637 , 133.0909090909091 , 84.15178571428571 , 28.41357537490134 , 1464.0
64,priority,strict,maleable,2,86.83333333333333 , 76.22222222222223 , 163.05555555555554 , 84.15178571428571 , 51.14443567482242 , 2935.0
64,priority,strict,maleable,3,84.77777777777777 , 185.88888888888889 , 270.6666666666667 , 84.15178571428571 , 25.57221783741121 , 2436.0
64,priority,strict,maleable,4,84.85714285714286 , 245.64285714285714 , 330.5 , 84.15178571428571 , 39.77900552486188 , 4627.0
64,priority,strict,original,0,88.23076923076923 , 31.76923076923077 , 120.0 , 77.08333333333333 , 36.47700701480905 , 1560.0
64,priority,strict,original,1,91.0 , 50.9 , 141.9 , 77.08333333333333 , 28.059236165237724 , 1419.0
64,priority,strict,original,2,85.77777777777777 , 54.333333333333336 , 140.11111111111111 , 77.08333333333333 , 50.50662509742791 , 2522.0
64,priority,strict,original,3,81.77777777777777 , 178.77777777777777 , 260.55555555555554 , 77.08333333333333 , 25.253312548713954 , 2345.0
64,priority,strict,original,4,86.14285714285714 , 207.71428571428572 , 293.85714285714283 , 77.08333333333333 , 39.28293063133282 , 4114.0
64,priority,always_attend,maleable,0,88.26666666666667 , 35.266666666666666 , 123.53333333333333 , 80.05087209302326 , 36.763550667714064 , 1853.0
64,priority,always_attend,maleable,1,78.84615384615384 , 40.23076923076923 , 119.07692307692308 , 80.05087209302326 , 28.279654359780046 , 1548.0
64,priority,always_attend,maleable,2,77.26923076923077 , 58.0 , 135.26923076923077 , 80.05087209302326 , 50.903377847604084 , 3517.0
64,priority,always_attend,maleable,3,61.333333333333336 , 135.6 , 196.93333333333334 , 80.05087209302326 , 25.451688923802042 , 2954.0
64,priority,always_attend,maleable,4,66.42105263157895 , 91.78947368421052 , 158.21052631578948 , 80.05087209302326 , 39.591516103692065 , 3006.0
64,priority,always_attend,original,0,75.5625 , 39.625 , 115.1875 , 82.56944444444444 , 34.135667396061265 , 1843.0
64,priority,always_attend,original,1,93.66666666666667 , 54.416666666666664 , 148.08333333333334 , 82.56944444444444 , 26.258205689277897 , 1777.0
64,priority,always_attend,original,2,90.1304347826087 , 82.04347826086956 , 172.17391304347825 , 82.56944444444444 , 47.264770240700216 , 3960.0
64,priority,always_attend,original,3,87.15384615384616 , 149.46153846153845 , 236.6153846153846 , 82.56944444444444 , 23.632385120350108 , 3076.0
64,priority,always_attend,original,4,85.9047619047619 , 97.95238095238095 , 183.85714285714286 , 82.56944444444444 , 36.76148796498906 , 3861.0
64,priority,max_prop,maleable,0,131.95 , 41.85 , 173.8 , 90.43961864406779 , 26.262626262626263 , 3476.0
64,priority,max_prop,maleable,1,244.15384615384616 , 91.76923076923077 , 335.9230769230769 , 90.43961864406779 , 20.2020202020202 , 4367.0
64,priority,max_prop,maleable,2,132.6764705882353 , 110.32352941176471 , 243.0 , 90.43961864406779 , 36.36363636363637 , 8262.0
64,priority,max_prop,maleable,3,130.47058823529412 , 266.6470588235294 , 397.11764705882354 , 90.43961864406779 , 18.181818181818183 , 6751.0
64,priority,max_prop,maleable,4,131.91304347826087 , 264.8695652173913 , 396.7826086956522 , 90.43961864406779 , 28.282828282828284 , 9126.0
64,priority,max_prop,original,0,158.125 , 64.91666666666667 , 223.04166666666666 , 90.34926470588235 , 22.729480330257406 , 5353.0
64,priority,max_prop,original,1,141.94117647058823 , 147.47058823529412 , 289.4117647058824 , 90.34926470588235 , 17.484215638659542 , 4920.0
64,priority,max_prop,original,2,154.62857142857143 , 174.77142857142857 , 329.4 , 90.34926470588235 , 31.471588149587177 , 11529.0
64,priority,max_prop,original,3,156.5 , 266.8888888888889 , 423.3888888888889 , 90.34926470588235 , 15.735794074793588 , 7621.0
64,priority,max_prop,original,4,139.54166666666666 , 243.875 , 383.4166666666667 , 90.34926470588235 , 24.47790189412336 , 9202.0
128,priority,strict,maleable,0,90.27027027027027 , 47.86486486486486 , 138.13513513513513 , 82.00431034482759 , 49.813014210919974 , 5111.0
128,priority,strict,maleable,1,84.5 , 84.18181818181819 , 168.6818181818182 , 82.00431034482759 , 25.579655946148094 , 3711.0
128,priority,strict,maleable,2,89.7741935483871 , 143.8709677419355 , 233.6451612903226 , 82.00431034482759 , 36.35003739715782 , 7243.0
128,priority,strict,maleable,3,91.52173913043478 , 327.2608695652174 , 418.7826086956522 , 82.00431034482759 , 29.61854899027674 , 9632.0
128,priority,strict,maleable,4,85.73076923076923 , 874.5769230769231 , 960.3076923076923 , 82.00431034482759 , 30.964846671652957 , 24968.0
128,priority,strict,original,0,89.1842105263158 , 48.6578947368421 , 137.8421052631579 , 77.78201219512195 , 53.08888003188521 , 5238.0
128,priority,strict,original,1,85.0 , 65.73684210526316 , 150.73684210526315 , 77.78201219512195 , 27.261857313670784 , 2864.0
128,priority,strict,original,2,89.85185185185185 , 123.0 , 212.85185185185185 , 77.78201219512195 , 38.74053407732164 , 5747.0
128,priority,strict,original,3,87.69565217391305 , 250.43478260869566 , 338.1304347826087 , 77.78201219512195 , 31.566361100039856 , 7777.0
128,priority,strict,original,4,89.1304347826087 , 808.3478260869565 , 897.4782608695652 , 77.78201219512195 , 33.001195695496214 , 20642.0
128,priority,always_attend,maleable,0,86.9795918367347 , 89.28571428571429 , 176.26530612244898 , 84.90210843373494 , 52.56511444356748 , 8637.0
128,priority,always_attend,maleable,1,95.95652173913044 , 134.52173913043478 , 230.47826086956522 , 84.90210843373494 , 26.992896606156275 , 5301.0
128,priority,always_attend,maleable,2,80.58695652173913 , 159.80434782608697 , 240.3913043478261 , 84.90210843373494 , 38.35832675611681 , 11058.0
128,priority,always_attend,maleable,3,93.35483870967742 , 162.93548387096774 , 256.2903225806452 , 84.90210843373494 , 31.254932912391475 , 7945.0
128,priority,always_attend,maleable,4,76.94117647058823 , 241.6764705882353 , 318.61764705882354 , 84.90210843373494 , 32.675611681136544 , 10833.0
128,priority,always_attend,original,0,83.08888888888889 , 129.82222222222222 , 212.9111111111111 , 81.82397959183673 , 44.743029895868325 , 9581.0
