Task,Start,Finish,Cores,RequestId
23,2022-03-29 01:08:01.311174,2022-03-29 01:19:32.711593,2,23
-1,2022-03-29 01:08:01.392967,2022-03-29 01:08:01.393046,8,54
-1,2022-03-29 01:08:34.645784,2022-03-29 01:08:34.645858,8,55
-1,2022-03-29 01:09:18.673789,2022-03-29 01:09:18.673864,8,56
18.5,2022-03-29 01:06:42.338026,2022-03-29 01:09:22.338026,1,
18.5,2022-03-29 01:09:22.338026,2022-03-29 01:11:59.338026,2,
18.5,2022-03-29 01:11:59.338026,2022-03-29 01:14:35.338026,1,
18.5,2022-03-29 01:14:35.338026,2022-03-29 01:16:24.338026,2,
18.5,2022-03-29 01:16:24.338026,2022-03-29 01:17:57.338026,1,
19,2022-03-29 01:09:39.498831,2022-03-29 01:10:44.552511,8,19
-1,2022-03-29 01:09:52.614579,2022-03-29 01:09:52.614669,8,57
-1,2022-03-29 01:10:33.085792,2022-03-29 01:10:33.085869,8,58
19.5,2022-03-29 01:09:39.498831,2022-03-29 01:12:21.498831,1,
19.5,2022-03-29 01:12:21.498831,2022-03-29 01:14:58.498831,2,
19.5,2022-03-29 01:14:58.498831,2022-03-29 01:17:34.498831,1,
19.5,2022-03-29 01:17:34.498831,2022-03-29 01:20:08.498831,2,
19.5,2022-03-29 01:20:08.498831,2022-03-29 01:22:03.498831,1,
20,2022-03-29 01:10:54.567144,2022-03-29 01:18:53.052685,8,20
21,2022-03-29 01:10:54.567266,2022-03-29 01:16:54.794278,4,21
-1,2022-03-29 01:11:11.621827,2022-03-29 01:11:11.621910,8,59
-1,2022-03-29 01:11:56.661795,2022-03-29 01:11:56.661881,8,60
-1,2022-03-29 01:12:35.761833,2022-03-29 01:12:35.761935,8,61
-1,2022-03-29 01:13:14.361813,2022-03-29 01:13:14.361916,8,62
-1,2022-03-29 01:13:51.561833,2022-03-29 01:13:51.561935,8,63
-1,2022-03-29 01:14:31.161811,2022-03-29 01:14:31.161918,8,64
-1,2022-03-29 01:15:04.024321,2022-03-29 01:15:04.024401,8,65
-1,2022-03-29 01:15:44.143319,2022-03-29 01:15:44.143397,8,66
-1,2022-03-29 01:16:23.845809,2022-03-29 01:16:23.845893,8,67
21.5,2022-03-29 01:10:54.567266,2022-03-29 01:13:33.567266,1,
21.5,2022-03-29 01:13:33.567266,2022-03-29 01:15:12.567266,2,
21.5,2022-03-29 01:15:12.567266,2022-03-29 01:16:45.567266,1,
21.5,2022-03-29 01:16:45.567266,2022-03-29 01:18:17.567266,2,
21.5,2022-03-29 01:18:17.567266,2022-03-29 01:19:49.567266,1,
22,2022-03-29 01:17:04.808788,2022-03-29 01:19:22.697405,6,22
-1,2022-03-29 01:17:06.428558,2022-03-29 01:17:06.428647,8,68
-1,2022-03-29 01:17:48.964179,2022-03-29 01:17:48.964264,8,69
-1,2022-03-29 01:18:24.705780,2022-03-29 01:18:24.705863,8,70
-1,2022-03-29 01:19:07.545924,2022-03-29 01:19:07.546019,8,71
22.5,2022-03-29 01:17:04.808788,2022-03-29 01:19:41.808788,1,
22.5,2022-03-29 01:19:41.808788,2022-03-29 01:22:16.808788,2,
22.5,2022-03-29 01:22:16.808788,2022-03-29 01:24:50.808788,1,
22.5,2022-03-29 01:24:50.808788,2022-03-29 01:26:53.808788,2,
22.5,2022-03-29 01:26:53.808788,2022-03-29 01:28:25.808788,1,
23,2022-03-29 01:19:32.711611,2022-03-29 01:20:19.200903,8,23
-3,2022-03-29 01:19:34.530361,2022-03-29 01:19:35.531594,20,20
24,2022-03-29 01:19:38.277055,2022-03-29 01:20:29.215956,2,24
15,2022-03-29 01:19:41.234938,2022-03-29 01:20:29.215816,2,15
25,2022-03-29 01:19:44.421592,2022-03-29 01:27:55.306108,2,25
26,2022-03-29 01:19:47.513419,2022-03-29 01:28:25.869545,2,26
-1,2022-03-29 01:19:47.593143,2022-03-29 01:19:47.593249,8,72
23.5,2022-03-29 01:19:32.711611,2022-03-29 01:22:09.711611,1,
23.5,2022-03-29 01:22:09.711611,2022-03-29 01:24:42.711611,2,
23.5,2022-03-29 01:24:42.711611,2022-03-29 01:27:15.711611,1,
23.5,2022-03-29 01:27:15.711611,2022-03-29 01:29:45.711611,2,
23.5,2022-03-29 01:29:45.711611,2022-03-29 01:31:47.711611,1,
15,2022-03-29 01:20:29.215827,2022-03-29 01:28:15.854207,8,15
24,2022-03-29 01:20:29.215961,2022-03-29 01:27:45.290455,4,24
-1,2022-03-29 01:20:39.461870,2022-03-29 01:20:39.461965,8,73
-1,2022-03-29 01:21:17.609031,2022-03-29 01:21:17.609126,8,74
-1,2022-03-29 01:22:00.445791,2022-03-29 01:22:00.445880,8,75
-1,2022-03-29 01:22:37.615692,2022-03-29 01:22:37.615802,8,76
-1,2022-03-29 01:23:25.147623,2022-03-29 01:23:25.147715,8,77
-1,2022-03-29 01:24:04.931378,2022-03-29 01:24:04.931472,8,78
-1,2022-03-29 01:24:43.157453,2022-03-29 01:24:43.157546,8,79
-1,2022-03-29 01:25:29.949024,2022-03-29 01:25:29.949120,8,80
-1,2022-03-29 01:26:08.597788,2022-03-29 01:26:08.597884,8,81
-1,2022-03-29 01:26:44.663447,2022-03-29 01:26:44.663572,8,82
-1,2022-03-29 01:27:21.693818,2022-03-29 01:27:21.693911,8,83
24.5,2022-03-29 01:20:29.215961,2022-03-29 01:22:21.215961,1,
24.5,2022-03-29 01:22:21.215961,2022-03-29 01:23:54.215961,2,
24.5,2022-03-29 01:23:54.215961,2022-03-29 01:25:26.215961,1,
24.5,2022-03-29 01:25:26.215961,2022-03-29 01:27:00.215961,2,
24.5,2022-03-29 01:27:00.215961,2022-03-29 01:28:32.215961,1,
25,2022-03-29 01:27:55.306121,2022-03-29 01:30:47.142865,6,25
-1,2022-03-29 01:27:59.565834,2022-03-29 01:27:59.565962,8,84
15.5,2022-03-29 01:20:29.215827,2022-03-29 01:22:26.215827,1,
15.5,2022-03-29 01:22:26.215827,2022-03-29 01:24:07.215827,2,
15.5,2022-03-29 01:24:07.215827,2022-03-29 01:25:46.215827,1,
15.5,2022-03-29 01:25:46.215827,2022-03-29 01:27:23.215827,2,
15.5,2022-03-29 01:27:23.215827,2022-03-29 01:29:00.215827,1,
26,2022-03-29 01:28:25.869563,2022-03-29 01:31:48.731983,8,26
27,2022-03-29 01:28:28.667884,2022-03-29 01:30:57.158567,2,27
-1,2022-03-29 01:28:35.762617,2022-03-29 01:28:35.762746,8,85
-1,2022-03-29 01:29:15.769814,2022-03-29 01:29:15.769921,8,86
-1,2022-03-29 01:29:56.339655,2022-03-29 01:29:56.339755,8,87
-1,2022-03-29 01:30:37.131121,2022-03-29 01:30:37.131221,8,88
25.5,2022-03-29 01:27:55.306121,2022-03-29 01:30:32.306121,1,
25.5,2022-03-29 01:30:32.306121,2022-03-29 01:33:06.306121,2,
25.5,2022-03-29 01:33:06.306121,2022-03-29 01:35:40.306121,1,
25.5,2022-03-29 01:35:40.306121,2022-03-29 01:37:22.306121,2,
25.5,2022-03-29 01:37:22.306121,2022-03-29 01:38:54.306121,1,
27,2022-03-29 01:30:57.158577,2022-03-29 01:37:29.063087,8,27
-1,2022-03-29 01:31:11.881924,2022-03-29 01:31:11.882086,8,89
-1,2022-03-29 01:31:51.776891,2022-03-29 01:31:51.777024,8,90
-3,2022-03-29 01:32:30.181788,2022-03-29 01:32:31.182950,26,26
28,2022-03-29 01:32:33.927991,2022-03-29 01:37:39.077983,2,28
29,2022-03-29 01:32:36.927097,2022-03-29 01:37:39.078130,2,29
30,2022-03-29 01:32:39.904496,2022-03-29 01:42:27.779073,2,30
31,2022-03-29 01:32:42.914045,2022-03-29 01:42:44.171090,2,31
-1,2022-03-29 01:32:42.990388,2022-03-29 01:32:42.990506,8,91
